"","EmployeeID","Age","Attrition","BusinessTravel","Department","DistanceFromHome","Education","EducationField","Gender","JobLevel","JobRole","MaritalStatus","MonthlyIncome","NumCompaniesWorked","PercentSalaryHike","StockOptionLevel","TotalWorkingYears","TrainingTimesLastYear","YearsAtCompany","YearsSinceLastPromotion","YearsWithCurrManager","vacations","work_regularity","workLoad","mean_attendance","JobInvolvement","PerformanceRating","EnvironmentSatisfaction","JobSatisfaction","WorkLifeBalance"
"1",1,51,"No","Travel_Rarely","Sales",6,2,"Life Sciences","Female",1,"Healthcare Representative","Married",131160,1,11,0,1,6,1,0,0,29,"regular","normal",7.37383620689655,3,3,3,4,2
"2",2,31,"Yes","Travel_Frequently","Research & Development",10,1,"Life Sciences","Female",1,"Research Scientist","Single",41890,0,23,1,6,3,5,1,4,25,"regular","normal",7.71877118644068,2,4,3,2,4
"3",3,32,"No","Travel_Frequently","Research & Development",17,4,"Other","Male",4,"Sales Executive","Married",193280,1,15,3,5,2,5,0,3,19,"irregular","normal",7.01330578512397,3,3,2,2,1
"4",4,38,"No","Non-Travel","Research & Development",2,5,"Life Sciences","Male",3,"Human Resources","Married",83210,3,11,3,13,5,8,7,5,26,"irregular","normal",7.19353191489362,2,3,4,4,3
"5",5,32,"No","Travel_Rarely","Research & Development",10,1,"Medical","Male",1,"Sales Executive","Single",23420,4,12,2,9,2,6,0,4,16,"regular","normal",8.00632653061225,3,3,4,1,3
"6",6,46,"No","Travel_Rarely","Research & Development",8,3,"Life Sciences","Female",4,"Research Director","Married",40710,3,13,0,28,5,7,7,7,24,"regular","severe_workload",10.7956540084388,3,3,3,2,2
"7",7,28,"Yes","Travel_Rarely","Research & Development",11,2,"Medical","Male",2,"Sales Executive","Single",58130,2,20,1,5,2,0,0,0,29,"irregular","normal",6.92349137931035,3,4,1,3,1
"8",8,29,"No","Travel_Rarely","Research & Development",18,3,"Life Sciences","Male",2,"Sales Executive","Married",31430,2,22,3,10,2,0,0,0,18,"chronic_irregular","normal",6.72600823045267,3,4,1,2,3
"9",9,31,"No","Travel_Rarely","Research & Development",1,3,"Life Sciences","Male",3,"Laboratory Technician","Married",20440,0,21,0,10,2,9,7,8,31,"regular","normal",7.23634782608696,3,4,2,4,3
"10",10,25,"No","Non-Travel","Research & Development",7,4,"Medical","Female",4,"Laboratory Technician","Divorced",134640,1,13,1,6,2,6,1,5,27,"irregular","normal",7.07970085470085,3,3,2,1,3
"11",11,45,"No","Travel_Rarely","Research & Development",17,2,"Medical","Male",2,"Laboratory Technician","Married",79910,0,13,2,21,2,20,4,10,20,"regular","normal",8.40352697095436,2,3,3,4,3
