"","EmployeeID","Age","Attrition","BusinessTravel","Department","DistanceFromHome","Education","EducationField","Gender","JobLevel","JobRole","MaritalStatus","MonthlyIncome","NumCompaniesWorked","PercentSalaryHike","StockOptionLevel","TotalWorkingYears","TrainingTimesLastYear","YearsAtCompany","YearsSinceLastPromotion","YearsWithCurrManager","vacations","mean_attendance","work_regularity","workLoad","EnvironmentSatisfaction","JobSatisfaction","WorkLifeBalance","JobInvolvement","PerformanceRating"
"1","1",51,"0","Travel_Rarely","Sales",6,"2","Life Sciences","Female","1","Healthcare Representative","Married",131160,2,11,"0",1,6,1,0,0,17,7.37383620689655,"1","0","3","4","2","3","3"
"2","2",31,"1","Travel_Frequently","Research & Development",10,"1","Life Sciences","Female","1","Research Scientist","Single",41890,1,23,"1",6,3,5,1,4,13,7.71877118644068,"0","0","3","2","4","2","4"
"3","3",32,"0","Travel_Frequently","Research & Development",17,"4","Other","Male","4","Sales Executive","Married",193280,2,15,"3",5,2,5,0,3,7,7.01330578512397,"1","0","2","2","1","3","3"
"4","4",38,"0","Non-Travel","Research & Development",2,"5","Life Sciences","Male","3","Human Resources","Married",83210,4,11,"3",13,5,8,7,5,14,7.19353191489362,"1","0","4","4","3","2","3"
"5","5",32,"0","Travel_Rarely","Research & Development",10,"1","Medical","Male","1","Sales Executive","Single",23420,5,12,"2",9,2,6,0,4,4,8.00632653061225,"0","0","4","1","3","3","3"
"6","6",46,"0","Travel_Rarely","Research & Development",8,"3","Life Sciences","Female","4","Research Director","Married",40710,4,13,"0",28,5,7,7,7,12,10.7956540084388,"0","2","3","2","2","3","3"
"7","7",28,"1","Travel_Rarely","Research & Development",11,"2","Medical","Male","2","Sales Executive","Single",58130,3,20,"1",5,2,0,0,0,17,6.92349137931035,"1","0","1","3","1","3","4"
"8","8",29,"0","Travel_Rarely","Research & Development",18,"3","Life Sciences","Male","2","Sales Executive","Married",31430,3,22,"3",10,2,0,0,0,6,6.72600823045267,"1","0","1","2","3","3","4"
"9","9",31,"0","Travel_Rarely","Research & Development",1,"3","Life Sciences","Male","3","Laboratory Technician","Married",20440,1,21,"0",10,2,9,7,8,19,7.23634782608696,"1","0","2","4","3","3","4"
"10","10",25,"0","Non-Travel","Research & Development",7,"4","Medical","Female","4","Laboratory Technician","Divorced",134640,2,13,"1",6,2,6,1,5,15,7.07970085470085,"1","0","2","1","3","3","3"
